Ýrsaliye Tarihi,Ýrsaliye No,Resmi Belge No,Satýþ Tipi,Müþteri Ünvaný,Nakliyeci Ünvan,Plaka,Miktar, Nakliye Yerel Tutar , Nakliye Yerel Tutar Toplam , Nakliye Firma Tutar , Nakliye Firma Tutar Toplam ,Þehir
04/01/2023,1,80023,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 712 DT,"26,820", -   , -   , -   , -   ,VITI
04/01/2023,2,80024,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 974 NK,"25,240", -   , -   , -   , -   ,TETOVE
04/01/2023,3,8028,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AN 186,"24,220", -   , -   , -   , -   ,SPLIT
04/01/2023,4,80025,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AM 433,"24,120", -   , -   , -   , -   ,SPLIT
04/01/2023,5,0080027/0080029,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AB 548 AR,"12,580", -   , -   , -   , -   ,TIRANE
04/01/2023,6,80033,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 709 FB,"23,300", -   , -   , -   , -   ,TETOVE
04/01/2023,7,80035,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 6081 BB,"20,840", -   , -   , -   , -   ,SHKUP
04/01/2023,8,80038,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 611 BA,"27,180", -   , -   , -   , -   ,TETOVE
04/01/2023,9,80039,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 532 DM,"25,140", -   , -   , -   , -   ,TETOVE
04/01/2023,10,80041,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 051 MD,"26,360", -   , -   , -   , -   ,TETOVE
04/01/2023,11,80042,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 503 FX,"25,840", -   , -   , -   , -   ,TETOVE
04/01/2023,12,80043,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 922 AL,"24,680", -   , -   , -   , -   ,TETOVE
04/01/2023,13,80044,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"32,220", -   , -   , -   , -   ,ELBASAN
04/01/2023,14,80048,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 342 ZB,"24,800", -   , -   , -   , -   ,TETOVE
04/01/2023,15,80049,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 068 TK,"25,080", -   , -   , -   , -   ,TETOVE
04/01/2023,16,80050,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK0798 BG,"25,620", -   , -   , -   , -   ,SHKUP
04/01/2023,17,80051,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0731 BC,"22,760", -   , -   , -   , -   ,SHKUP
04/01/2023,18,80052,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 935 PD,"27,500", -   , -   , -   , -   ,PRISHTINE
04/01/2023,19,80053,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 9249 AK,"22,440", -   , -   , -   , -   ,SHKUP
04/01/2023,20,80054,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"32,080", -   , -   , -   , -   ,ELBASAN
04/01/2023,21,80055,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"32,380", -   , -   , -   , -   ,ELBASAN
04/01/2023,22,80056,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"33,740", -   , -   , -   , -   ,ELBASAN
04/01/2023,23,80057,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"30,860", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,24,80058,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 295 PS,"21,980", -   , -   , -   , -   ,LIPJAN
04/01/2023,26,80060,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 0388 AD,"25,320", -   , -   , -   , -   ,SHKUP
04/01/2023,27,80061,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 7656 AD,"24,180", -   , -   , -   , -   ,SHKUP
04/01/2023,28,80062,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 8161 AB,"26,640", -   , -   , -   , -   ,SHKUP
04/01/2023,30,80065,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 482 ZE,"25,500", -   , -   , -   , -   ,TETOVE
04/01/2023,31,80066,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 8129 AC,"25,880", -   , -   , -   , -   ,TETOVE
04/01/2023,32,0080064/0080067,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 2635 AC,"24,580", -   , -   , -   , -   ,TETOVE
04/01/2023,33,80070,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 8127 AC,"25,860", -   , -   , -   , -   ,TETOVE
04/01/2023,34,80071,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 2637 AC,"26,200", -   , -   , -   , -   ,TETOVE
04/01/2023,35,80072,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 746 CJ,"24,560", -   , -   , -   , -   ,TETOVE
04/01/2023,36,80074,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 8126 AC,"24,440", -   , -   , -   , -   ,TETOVE
04/01/2023,37,80075,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 399 VS,"24,040", -   , -   , -   , -   ,TETOVE
04/01/2023,38,80076,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 522 YD,"21,240", -   , -   , -   , -   ,SHKUP
04/01/2023,39,80077,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB 543 FY,"22,780", -   , -   , -   , -   ,SHKUP
04/01/2023,40,80078,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"32,220", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,41,80079,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 553 VG,"24,860", -   , -   , -   , -   ,TETOVE
04/01/2023,42,80080,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 853 SI,"25,800", -   , -   , -   , -   ,TETOVE
04/01/2023,43,80081,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 656 CZ,"24,080", -   , -   , -   , -   ,TETOVE
04/01/2023,44,0080082/0080068,Yurt Ýçi,DRITAN SULAJ,DRITAN SULAJ,AA 829 OJ,"41,820", -   , -   , -   , -   ,FIER
04/01/2023,45,80083,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB 057 GE,"24,320", -   , -   , -   , -   ,SHKUP
04/01/2023,46,80084,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 185 FF,"25,500", -   , -   , -   , -   ,TETOVE
04/01/2023,47,80086,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 884 RI,"37,900", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,48,80085,Yurt Dýþý,METALLURGICA IRPINA SPA,METALLURGICA IRPINA SPA,AB 718 FR,"23,040", -   , -   , -   , -   ,NAPOLI
04/01/2023,49,80087,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 416 XZ,"21,420", -   , -   , -   , -   ,SHKUP
04/01/2023,50,80090,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 482 ZE,"24,260", -   , -   , -   , -   ,TETOVE
04/01/2023,51,80091,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SK 0984 AV,"24,620", -   , -   , -   , -   ,TETOVE
04/01/2023,52,80092,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 244 YE,"32,180", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,53,80093,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 053 GY,"30,360", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,54,80094,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"32,620", -   , -   , -   , -   ,ELBASAN
04/01/2023,55,80095,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 737 EA,"39,120", -   , -   , -   , -   ,FUSHE KRUJE
04/01/2023,56,80097,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 165 GB,"32,560", -   , -   , -   , -   ,ELBASAN
05/01/2023,57,80099,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"32,120", -   , -   , -   , -   ,ELBASAN
05/01/2023,58,80098,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 ER,"31,320", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,59,80101,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"32,360", -   , -   , -   , -   ,ELBASAN
05/01/2023,60,80102,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"30,240", -   , -   , -   , -   ,ELBASAN
05/01/2023,61,80104,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 165 GB,"32,080", -   , -   , -   , -   ,ELBASAN
05/01/2023,62,80105,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"33,640", -   , -   , -   , -   ,ELBASAN
05/01/2023,63,80106,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 138 FI,"25,500", -   , -   , -   , -   ,FERIZAJ
05/01/2023,64,80107,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 139 FI,"24,680", -   , -   , -   , -   ,FERIZAJ
05/01/2023,65,80108,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 162 EN,"24,920", -   , -   , -   , -   ,FERIZAJ
05/01/2023,66,80109,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 934 FS,"26,700", -   , -   , -   , -   ,FERIZAJ
05/01/2023,67,80110,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"31,300", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,68,80111,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 712 DT,"26,320", -   , -   , -   , -   ,VITI
05/01/2023,69,80112,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 925 ED,"28,620", -   , -   , -   , -   ,VITI
05/01/2023,70,80113,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 7714 AM,"22,720", -   , -   , -   , -   ,SHKUP
05/01/2023,72,80114,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 451 CU,"31,580", -   , -   , -   , -   ,ELBASAN
05/01/2023,73,80115,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 935 PD,"27,360", -   , -   , -   , -   ,PRISHTINE
05/01/2023,74,80117,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,OH 1105 AC,"25,140", -   , -   , -   , -   ,SHKUP
05/01/2023,75,80118,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),04 950 CB,"26,580", -   , -   , -   , -   ,GJAKOVE
05/01/2023,76,80120,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 6081 BB,"22,540", -   , -   , -   , -   ,SHKUP
05/01/2023,77,80119,Yurt Dýþý,CONDOR SHPK (KOSOVE),CONDOR SHPK (KOSOVE),04 869 II,"27,740", -   , -   , -   , -   ,RAHOVEC
05/01/2023,78,80121,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),04 840 HT,"29,220", -   , -   , -   , -   ,GJAKOVE
05/01/2023,79,80122,Yurt Dýþý,CONDOR SHPK (KOSOVE),CONDOR SHPK (KOSOVE),04 671 IH,"28,880", -   , -   , -   , -   ,RAHOVEC
05/01/2023,80,80123,Yurt Ýçi,VELLEZERIT HYSA SHPK,VELLEZERIT HYSA SHPK,AA 514VG,"34,880", -   , -   , -   , -   ,ELBASAN
05/01/2023,81,80125,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 053 GY,"30,800", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,82,80126,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 165 GB,"32,840", -   , -   , -   , -   ,ELBASAN
05/01/2023,83,80127,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 761 CL,"31,080", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,84,80128,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 315 ZT,"23,020", -   , -   , -   , -   ,TETOVE
05/01/2023,85,80129,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 876 ID,"24,520", -   , -   , -   , -   ,TETOVE
05/01/2023,86,80130,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 264 ED,"33,160", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,87,80131,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 834 EL,"24,200", -   , -   , -   , -   ,TETOVE
05/01/2023,88,80132,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"30,140", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,89,80134,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 052 DV,"22,860", -   , -   , -   , -   ,TETOVE
05/01/2023,90,80135,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,06 148 FO,"26,460", -   , -   , -   , -   ,LIPJAN
05/01/2023,91,80137,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 629 FL,"24,600", -   , -   , -   , -   ,TETOVE
05/01/2023,92,80138,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 724 NK,"26,780", -   , -   , -   , -   ,TETOVE
05/01/2023,93,80139,Yurt Ýçi,ELBA BETON (ARIAN),ELBA BETON (ARIAN),AB 107 GT,"30,820", -   , -   , -   , -   ,ELBASAN
05/01/2023,94,80140,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 218 GB,"30,420", -   , -   , -   , -   ,ELBASAN
05/01/2023,95,80141,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 296 IJ,"25,540", -   , -   , -   , -   ,TETOVE
05/01/2023,96,80142,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA281 DL,"23,980", -   , -   , -   , -   ,SHKUP
05/01/2023,97,80144,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"33,680", -   , -   , -   , -   ,ELBASAN
05/01/2023,98,80145,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"31,620", -   , -   , -   , -   ,ELBASAN
05/01/2023,99,80146,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AB 211 GB,"26,200", -   , -   , -   , -   ,SHKUP
05/01/2023,100,80147,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"30,780", -   , -   , -   , -   ,ELBASAN
05/01/2023,101,80148,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 905 DX,"32,980", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,102,80149,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 185 HS,"26,860", -   , -   , -   , -   ,TETOVE
05/01/2023,103,0080143/0080150,Yurt Ýçi,DRITAN SULAJ,DRITAN SULAJ,AA 356 ZI,"25,840", -   , -   , -   , -   ,FIER
05/01/2023,104,80151,Yurt Ýçi,KEJDI-UK  SHPK,MUSTERI,AB 310 KU,"35,600"," 2,978.04 "," 106,018.22 ", 26.00 , 925.60 ,SARANDE
05/01/2023,105,80152,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 378 UZ,"25,160", -   , -   , -   , -   ,TETOVE
05/01/2023,106,80153,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 283DL,"32,660", -   , -   , -   , -   ,ELBASAN
05/01/2023,107,80154,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 935 EM,"27,640", -   , -   , -   , -   ,VITI
05/01/2023,108,80155,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 327 OD,"26,040", -   , -   , -   , -   ,LIPJAN
05/01/2023,109,80156,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 761 CL,"30,860", -   , -   , -   , -   ,FUSHE KRUJE
05/01/2023,110,80157,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 981 XD,"24,760", -   , -   , -   , -   ,TETOVE
05/01/2023,111,80158,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA401 DL,"31,060", -   , -   , -   , -   ,ELBASAN
05/01/2023,112,80159,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),06 650 FN,"27,300", -   , -   , -   , -   ,PRISHTINE
05/01/2023,113,80161,Yurt Dýþý,SS ALGA  (MONTENEGRO),ARMAND VELIAJ,AB 849 EP,"25,720"," 2,290.80 "," 58,919.38 ", 20.00 , 514.40 ,PODGORICE
05/01/2023,114,80163,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"33,280", -   , -   , -   , -   ,ELBASAN
05/01/2023,115,80164,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 236 HC,"26,840", -   , -   , -   , -   ,TETOVE
05/01/2023,116,80165,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"33,040", -   , -   , -   , -   ,ELBASAN
06/01/2023,117,80167,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"33,080", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,118,80168,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"32,840", -   , -   , -   , -   ,ELBASAN
06/01/2023,119,80169,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 853 SI,"24,900", -   , -   , -   , -   ,TETOVE
06/01/2023,120,80170,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"31,840", -   , -   , -   , -   ,ELBASAN
06/01/2023,121,80172,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497 FX,"31,160", -   , -   , -   , -   ,ELBASAN
06/01/2023,122,80173,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 761 CL,"31,380", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,123,0080171/0080174,Yurt Ýçi,G.P.G COMPANY SHPK ,G.P.G COMPANY SHPK ,AB 548 AR,"14,500", -   , -   , -   , -   ,TIRANE
06/01/2023,124,80175,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 246 EO,"26,400", -   , -   , -   , -   ,VITI
06/01/2023,125,80177,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),01 481 SH,"27,400", -   , -   , -   , -   ,PRISHTINE
06/01/2023,126,80178,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 134 FI,"26,200", -   , -   , -   , -   ,FERIZAJ
06/01/2023,127,80179,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 936 FS,"26,820", -   , -   , -   , -   ,FERIZAJ
06/01/2023,128,80180,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 132 FI,"26,300", -   , -   , -   , -   ,FERIZAJ
06/01/2023,129,80181,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 136 FI,"25,780", -   , -   , -   , -   ,FERIZAJ
06/01/2023,130,80182,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 925 ED,"26,760", -   , -   , -   , -   ,VITI
06/01/2023,131,80184,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 ER,"31,320", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,132,80185,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 712 DT,"26,020", -   , -   , -   , -   ,VITI
06/01/2023,133,80186,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),04 902 HA,"27,060", -   , -   , -   , -   ,GJAKOVE
06/01/2023,134,80187,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),04 8914 HM,"26,160", -   , -   , -   , -   ,VITI
06/01/2023,135,80188,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),SK 2216 BD,"21,920", -   , -   , -   , -   ,SHKUP
06/01/2023,136,80189,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 741 BA,"32,080", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,137,80190,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 941 FS,"26,300", -   , -   , -   , -   ,FERIZAJ
06/01/2023,138,80191,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,01 785 MN,"21,460", -   , -   , -   , -   ,LIPJAN
06/01/2023,139,0080176/0080192,Yurt Ýçi,DRITAN SULAJ,DRITAN SULAJ,AA 829 OJ,"36,100", -   , -   , -   , -   ,FIER
06/01/2023,140,80194,Yurt Dýþý,RRONI FER SHPK (KOSOVA),RRONI FER SHPK (KOSOVA),05 160 FN,"26,900", -   , -   , -   , -   ,GJAKOVE
06/01/2023,141,80195,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 053 GY,"32,020", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,142,80197,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),03 578 HD,"22,320", -   , -   , -   , -   ,VITI
06/01/2023,143,80198,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 893 LV,"31,540", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,144,80199,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),03 454 AL,"22,340", -   , -   , -   , -   ,VITI
06/01/2023,145,80200,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,06 786 FI,"26,280", -   , -   , -   , -   ,LIPJAN
06/01/2023,146,80201,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"31,500", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,147,80202,Yurt Ýçi,KONTAKT SHPK,KONTAKT SHPK,AB524HJ,"20,680", -   , -   , -   , -   ,TIRANE
06/01/2023,148,80203,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 737 EA,"38,200", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,149,80204,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 451 CU,"32,880", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,150,80205,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 421 EJ,"25,260", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,151,80206,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 765 PA,"23,900", -   , -   , -   , -   ,TETOVE
06/01/2023,152,80207,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 HH,"32,800", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,153,80209,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 761 CL,"31,800", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,154,80210,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AA 286 RM,"33,740", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,155,80211,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 156 IP,"26,700", -   , -   , -   , -   ,TETOVE
06/01/2023,156,80212,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 589 LD,"26,460", -   , -   , -   , -   ,TETOVE
06/01/2023,157,80213,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 132 GR,"31,620", -   , -   , -   , -   ,FUSHE KRUJE
06/01/2023,158,80214,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 068 TK,"24,900", -   , -   , -   , -   ,TETOVE
06/01/2023,159,80216,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 935 EM,"25,800", -   , -   , -   , -   ,VITI
06/01/2023,160,80217,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 051MD,"26,540", -   , -   , -   , -   ,TETOVE
