Ýrsaliye Tarihi,Ýrsaliye No,Resmi Belge No,Satýþ Tipi,Müþteri Ünvaný,Nakliyeci Ünvan,Plaka,Miktar, Nakliye Yerel Tutar , Nakliye Yerel Tutar Toplam , Nakliye Firma Tutar , Nakliye Firma Tutar Toplam ,Þehir
09/02/2023,"1,929",12291,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 474 RO,"34,460", -   , -   , -   , -   ,ELBASAN
09/02/2023,"1,930",12292,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,01 817 QH,"26,280", -   , -   , -   , -   ,LIPJAN
09/02/2023,"1,931",12293,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 245 EO,"26,100", -   , -   , -   , -   ,VITI
09/02/2023,"1,932",12295,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 934 FS,"25,220", -   , -   , -   , -   ,FERIZAJ
09/02/2023,"1,933",12294,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 246 EO,"26,980", -   , -   , -   , -   ,VITI
09/02/2023,"1,934",12297,Yurt Ýçi,FUSHA SHPK,AIVI 2020 (KLEVIS DAKA),AB 235 HS,"33,720", 990.00 ," 33,382.80 ", 8.53 , 287.53 ,VORE
09/02/2023,"1,935",12298,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 121 HB,"24,400", -   , -   , -   , -   ,NOVI SAD
09/02/2023,"1,936",12299,Yurt Dýþý,METAL IN (KOSOVA),METAL IN (KOSOVA),07 998 DP,"24,480", -   , -   , -   , -   ,PRISHTINE
09/02/2023,"1,938",12301,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 218 GB,"35,220", -   , -   , -   , -   ,ELBASAN
09/02/2023,"1,939",12300,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"33,740", -   , -   , -   , -   ,ELBASAN
09/02/2023,"1,940",12302,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"31,300", -   , -   , -   , -   ,ELBASAN
09/02/2023,"1,941",12303,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA497 FX,"31,960", -   , -   , -   , -   ,ELBASAN
10/02/2023,"1,942",12304,Yurt Ýçi,DRITAN SULAJ,MUSTERI,AB 302 KU,"34,480", 745.00 ," 25,687.60 ", 6.42 , 221.20 ,TIRANE
10/02/2023,"1,943",12305,Yurt Ýçi,DRITAN SULAJ,MUSTERI,AB 308 KU,"35,480", 745.00 ," 26,432.60 ", 6.42 , 227.61 ,TIRANE
10/02/2023,"1,944",12306,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 162 EN,"26,580", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,945",12307,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"32,520", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,946",12309,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 009 GL,"34,080", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,947",12310,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 941 FS,"26,940", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,948",12311,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"32,800", -   , -   , -   , -   ,ELBASAN
10/02/2023,"1,949",12312,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 139 FI,"25,660", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,950",12313,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 053 GY,"34,100", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,951",12314,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 024 US,"25,300", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,952",12315,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06 936 EL,"27,800", -   , -   , -   , -   ,VITI
10/02/2023,"1,953",12316,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05132FI,"26,880", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,954",12318,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 6081 BB,"21,260", -   , -   , -   , -   ,SHKUP
10/02/2023,"1,955",12319,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06650FN,"26,700", -   , -   , -   , -   ,VITI
10/02/2023,"1,956",12320,Yurt Dýþý,EURO STEEL-MN,EURO STEEL-MN,06 446 EF,"27,180", -   , -   , -   , -   ,LIPJAN
10/02/2023,"1,957",12321,Yurt Dýþý,SHPK NDERIMI(KOSOVA),SHPK NDERIMI(KOSOVA),05 936 FS,"26,460", -   , -   , -   , -   ,FERIZAJ
10/02/2023,"1,958",12323,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 036 JH,"23,040", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,959",12324,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AS 289,"25,860", -   , -   , -   , -   ,SPLIT
10/02/2023,"1,960",12325,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 761 CL,"31,420", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,961",12327,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0731 BC,"22,460", -   , -   , -   , -   ,SHKUP
10/02/2023,"1,962",12328,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 019 IR,"24,700", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,963",12329,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),PP 032 CM,"24,600", -   , -   , -   , -   ,NOVI SAD
10/02/2023,"1,964",12330,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),04 421 HM,"25,160", -   , -   , -   , -   ,VITI
10/02/2023,"1,965",12331,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0798 BG,"26,460", -   , -   , -   , -   ,SHKUP
10/02/2023,"1,966",12332,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"35,960", -   , -   , -   , -   ,FUSHE KRUJE
10/02/2023,"1,967",12334,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 9249 AK,"21,940", -   , -   , -   , -   ,SHKUP
