Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,095",13828,                                                            ,EM.00.025,12 Hekur Periodik,"2,600",KG,FOKUS TRADE BALKAN DOOEL,26/04/2023
"6,095",13828,                                                            ,EM.00.030,14 Hekur Periodik,"10,400",KG,FOKUS TRADE BALKAN DOOEL,26/04/2023
"6,095",13828,                                                            ,EM.00.035,16 Hekur Periodik,"10,080",KG,FOKUS TRADE BALKAN DOOEL,26/04/2023
"6,096",13829,                                                            ,DM.00.030,14 Hekur Periodik,"24,680",KG,METAL KOMERC LTD DOO (SIRBISTAN),26/04/2023
"6,097",13830,                                                            ,EM.00.035,16 Hekur Periodik,"14,200",KG,METAL MIX SHPK ,26/04/2023
"6,097",13830,                                                            ,EM.00.040,18 Hekur Periodik,"11,200",KG,METAL MIX SHPK ,26/04/2023
"6,098",13831,                                                            ,DM.00.030,14 Hekur Periodik,"21,180",KG,SHPK NDERIMI(KOSOVA),26/04/2023
"6,098",13831,                                                            ,EM.00.030,14 Hekur Periodik,"5,200",KG,SHPK NDERIMI(KOSOVA),26/04/2023
"6,099",13832,                                                            ,EM.00.035,16 Hekur Periodik,"27,100",KG,SHPK NDERIMI(KOSOVA),26/04/2023
"6,100",13833,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,520",KG,CWI-ALBANIA SHA_HEKUR,26/04/2023
"6,101",13834,                                                            ,DM.00.020,10 Hekur Periodik,"20,860",KG,METAL MIX SHPK ,26/04/2023
"6,102",13835,                                                            ,DM.00.010,8 Hekur Periodik,"22,320",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,102",13835,                                                            ,EM.00.050,22 Hekur Periodik,"10,200",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,103",13836,                                                            ,DM.00.010,8 Hekur Periodik,"4,200",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,103",13836,                                                            ,DM.00.025,12 Hekur Periodik,"17,400",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,103",13836,                                                            ,EM.00.035,16 Hekur Periodik,"2,600",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,107",13837,                                                            ,DM.00.010,8 Hekur Periodik,"20,540",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,114",13838,                                                            ,DM.00.010,8 Hekur Periodik,"18,600",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,114",13838,                                                            ,DM.00.055,25 Hekur Periodik,"12,400",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,115",13839,                                                            ,EM.00.035,16 Hekur Periodik,"37,080",KG,ERMIR SHPK (H.DEDA),27/04/2023
"6,116",13840,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,440",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,117",13841,                                                            ,DM.00.055,25 Hekur Periodik,"32,520",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,341",13842,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,520",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,343",13844,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,520",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,121",13845,                                                            ,DM.00.010,8 Hekur Periodik,"13,980",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,121",13845,                                                            ,EM.00.040,18 Hekur Periodik,"5,200",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,121",13845,                                                            ,EM.00.050,22 Hekur Periodik,"2,000",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,122",13846,                                                            ,EM.00.035,16 Hekur Periodik,"26,160",KG,SHPK NDERIMI(KOSOVA),27/04/2023
"6,123",13847,                                                            ,EM.00.035,16 Hekur Periodik,"27,780",KG,EURO ABI (KOSOVA),27/04/2023
"6,124",13848,                                                            ,EM.00.025,12 Hekur Periodik,"17,600",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,124",13848,                                                            ,EM.00.035,16 Hekur Periodik,"17,880",KG,SHIJAKU SHPK (SHSH),27/04/2023
"6,125",13849,                                                            ,DM.00.030,14 Hekur Periodik,"20,500",KG,SHPK NDERIMI(KOSOVA),27/04/2023
"6,125",13849,                                                            ,EM.00.030,14 Hekur Periodik,"5,200",KG,SHPK NDERIMI(KOSOVA),27/04/2023
"6,127",13850,                                                            ,DM.00.010,8 Hekur Periodik,"8,100",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
"6,127",13850,                                                            ,DM.00.020,10 Hekur Periodik,"6,200",KG,PROMET STEEL HOLDING DOOEL (Makedonya),27/04/2023
