Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,507", DURRES - M/V DYNASTY,                                                            ,EM.00.040,18 Hekur Periodik,"36,520",KG,SHIJAKU SHPK (SHSH),04/05/2023
"5,337",00 13005,                                                            ,DM.00.025,12 Hekur Periodik,"14,460",KG,SHIJAKU SHPK (SHSH),10/04/2023
"5,337",00 13005,                                                            ,EM.00.050,22 Hekur Periodik,"18,400",KG,SHIJAKU SHPK (SHSH),10/04/2023
648,00 80773,                                                            ,DM.00.035,16 Hekur Periodik,"8,200",KG,SHIJAKU SHPK (SHSH),14/01/2023
648,00 80773,                                                            ,DM.00.040,18 Hekur Periodik,"18,120",KG,SHIJAKU SHPK (SHSH),14/01/2023
648,00 80773,                                                            ,DM.00.045,20 Hekur Periodik,"6,000",KG,SHIJAKU SHPK (SHSH),14/01/2023
"2,575",46,                                                            ,DM.00.025,12 Hekur Periodik,"32,120",KG,SHIJAKU SHPK (SHSH),22/02/2023
"2,611",86,                                                            ,DM.00.020,10 Hekur Periodik,"8,000",KG,DI GIPS  BULGARIA LTD,22/02/2023
"2,611",86,                                                            ,DM.00.025,12 Hekur Periodik,"8,340",KG,DI GIPS  BULGARIA LTD,22/02/2023
"2,611",86,                                                            ,DM.00.030,14 Hekur Periodik,"8,420",KG,DI GIPS  BULGARIA LTD,22/02/2023
"2,639",118,                                                            ,DM.00.040,18 Hekur Periodik,"10,300",KG,METAL MIX SHPK ,23/02/2023
"2,639",118,                                                            ,DM.00.045,20 Hekur Periodik,"12,300",KG,METAL MIX SHPK ,23/02/2023
"2,640",119,                                                            ,DM.00.015,9 Hekur Periodik,"25,120",KG,FOKUS TRADE BALKAN DOOEL,23/02/2023
"2,641",120,                                                            ,DM.00.020,10 Hekur Periodik,"25,220",KG,STIL ZELEZO DOOEL ,23/02/2023
"2,642",122,                                                            ,DM.00.025,12 Hekur Periodik,"26,660",KG,METAL MIX SHPK ,23/02/2023
"2,643",123,                                                            ,DM.00.010,8 Hekur Periodik,"25,000",KG,STIL ZELEZO DOOEL ,23/02/2023
"2,709",199,                                                            ,DM.00.030,14 Hekur Periodik,"21,700",KG,UNITRADE SHPK (KOSOVA),24/02/2023
"2,710",200,                                                            ,DM.00.015,9 Hekur Periodik,"8,720",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.025,12 Hekur Periodik,"4,300",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.030,14 Hekur Periodik,"6,420",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.035,16 Hekur Periodik,"8,720",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.040,18 Hekur Periodik,"4,300",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,710",200,                                                            ,DM.00.045,20 Hekur Periodik,"4,200",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,711",201,                                                            ,DM.00.010,8 Hekur Periodik,"6,320",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.020,10 Hekur Periodik,"2,140",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.025,12 Hekur Periodik,"8,280",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.040,18 Hekur Periodik,"4,240",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.045,20 Hekur Periodik,"2,100",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.050,22 Hekur Periodik,"4,020",KG,BE-IS SHPK,24/02/2023
"2,711",201,                                                            ,DM.00.055,25 Hekur Periodik,"3,900",KG,BE-IS SHPK,24/02/2023
"2,712",202,                                                            ,DM.00.045,20 Hekur Periodik,"4,380",KG,METAL KOMERC LTD DOO (SIRBISTAN),24/02/2023
"2,712",202,                                                            ,DM.00.055,25 Hekur Periodik,"19,940",KG,METAL KOMERC LTD DOO (SIRBISTAN),24/02/2023
"2,713",203,                                                            ,DM.00.010,8 Hekur Periodik,"25,020",KG,STIL ZELEZO DOOEL ,24/02/2023
"2,714",204,                                                            ,DM.00.035,16 Hekur Periodik,"26,940",KG,SHPK NDERIMI(KOSOVA),24/02/2023
"2,793",290,                                                            ,DM.00.010,8 Hekur Periodik,"8,540",KG,DI GIPS  BULGARIA LTD,25/02/2023
"2,793",290,                                                            ,DM.00.020,10 Hekur Periodik,"6,260",KG,DI GIPS  BULGARIA LTD,25/02/2023
"2,793",290,                                                            ,DM.00.025,12 Hekur Periodik,"6,340",KG,DI GIPS  BULGARIA LTD,25/02/2023
"2,793",290,                                                            ,DM.00.030,14 Hekur Periodik,"4,360",KG,DI GIPS  BULGARIA LTD,25/02/2023
"2,795",293,                                                            ,EM.02.100," 5,5 Hekur Katanke ","24,880",KG,CWI-ALBANIA SHA_HEKUR,25/02/2023
"2,848",348,                                                            ,DM.00.010,8 Hekur Periodik,"10,440",KG,DESARET COMPANY,27/02/2023
"2,848",348,                                                            ,EM.00.025,12 Hekur Periodik,"5,000",KG,DESARET COMPANY,27/02/2023
"2,848",348,                                                            ,EM.00.035,16 Hekur Periodik,"16,560",KG,DESARET COMPANY,27/02/2023
"6,567",4385,                                                            ,EM.00.050,22 Hekur Periodik,"30,860",KG,SHIJAKU SHPK (SHSH),05/05/2023
"2,955",474,                                                            ,DM.00.010,8 Hekur Periodik,"2,120",KG,UNITRADE SHPK (KOSOVA),28/02/2023
"2,955",474,                                                            ,DM.00.015,9 Hekur Periodik,"8,620",KG,UNITRADE SHPK (KOSOVA),28/02/2023
"2,955",474,                                                            ,DM.00.025,12 Hekur Periodik,"15,240",KG,UNITRADE SHPK (KOSOVA),28/02/2023
"2,956",475,                                                            ,DM.00.015,9 Hekur Periodik,"21,800",KG,PROMET STEEL HOLDING DOOEL (Makedonya),28/02/2023
"3,011",528,                                                            ,DM.00.020,10 Hekur Periodik,"26,920",KG,RRONI FER SHPK (KOSOVA),01/03/2023
"3,032",549,                                                            ,DM.00.055,25 Hekur Periodik,"24,380",KG,FOKUS TRADE BALKAN DOOEL,01/03/2023
"3,033",550,                                                            ,DM.00.010,8 Hekur Periodik,"12,820",KG,SHIJAKU SHPK (SHSH),01/03/2023
"3,033",550,                                                            ,DM.00.020,10 Hekur Periodik,"19,900",KG,SHIJAKU SHPK (SHSH),01/03/2023
"3,105",618,                                                            ,DM.00.010,8 Hekur Periodik,"10,480",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,105",618,                                                            ,DM.00.025,12 Hekur Periodik,"10,660",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,105",618,                                                            ,DM.00.035,16 Hekur Periodik,"12,100",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,106",619,                                                            ,DM.00.015,9 Hekur Periodik,"6,480",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,106",619,                                                            ,DM.00.025,12 Hekur Periodik,"8,580",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,106",619,                                                            ,DM.00.030,14 Hekur Periodik,"7,980",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,106",619,                                                            ,DM.00.035,16 Hekur Periodik,"8,540",KG,SHIJAKU SHPK (SHSH),02/03/2023
"3,106",619,                                                            ,DM.00.040,18 Hekur Periodik,"8,480",KG,SHIJAKU SHPK (SHSH),02/03/2023
"2,597",71,                                                            ,DM.00.025,12 Hekur Periodik,"26,320",KG,FOKUS TRADE BALKAN DOOEL,22/02/2023
"2,598",72,                                                            ,DM.00.025,12 Hekur Periodik,"27,240",KG,SHPK NDERIMI(KOSOVA),22/02/2023
"3,256",770,                                                            ,DM.00.010,8 Hekur Periodik,"31,320",KG,LARTI SHPK (A.ISAI),04/03/2023
"3,379",901,                                                            ,DM.00.010,8 Hekur Periodik,"2,200",KG,DRITAN SULAJ,06/03/2023
"3,379",901,                                                            ,DM.00.035,16 Hekur Periodik,"4,160",KG,DRITAN SULAJ,06/03/2023
"3,379",901,                                                            ,DM.00.045,20 Hekur Periodik,"8,420",KG,DRITAN SULAJ,06/03/2023
"3,379",901,                                                            ,EM.00.025,12 Hekur Periodik,"13,000",KG,DRITAN SULAJ,06/03/2023
"3,379",901,                                                            ,EM.00.035,16 Hekur Periodik,"4,160",KG,DRITAN SULAJ,06/03/2023
"2,330",12762,                                                            ,DM.00.010,8 Hekur Periodik,"6,200",KG,SHIJAKU SHPK (SHSH),17/02/2023
"2,330",12762,                                                            ,DM.00.015,9 Hekur Periodik,"8,200",KG,SHIJAKU SHPK (SHSH),17/02/2023
"2,330",12762,                                                            ,DM.00.025,12 Hekur Periodik,"4,300",KG,SHIJAKU SHPK (SHSH),17/02/2023
"2,330",12762,                                                            ,DM.00.035,16 Hekur Periodik,"13,800",KG,SHIJAKU SHPK (SHSH),17/02/2023
"2,330",12762,                                                            ,DM.00.045,20 Hekur Periodik,"4,340",KG,SHIJAKU SHPK (SHSH),17/02/2023
"2,715",205,                                                            ,DM.00.045,20 Hekur Periodik,"32,940",KG,SHIJAKU SHPK (SHSH),24/02/2023
"2,794",291,                                                            ,DM.00.010,8 Hekur Periodik,"12,340",KG,SHIJAKU SHPK (SHSH),25/02/2023
"2,794",291,                                                            ,DM.00.015,9 Hekur Periodik,"10,640",KG,SHIJAKU SHPK (SHSH),25/02/2023
"2,794",291,                                                            ,DM.00.025,12 Hekur Periodik,"10,720",KG,SHIJAKU SHPK (SHSH),25/02/2023
"2,803",301,                                                            ,DM.00.010,8 Hekur Periodik,"2,140",KG,EURO ABI (KOSOVA),25/02/2023
"2,803",301,                                                            ,DM.00.020,10 Hekur Periodik,"4,320",KG,EURO ABI (KOSOVA),25/02/2023
"2,803",301,                                                            ,DM.00.025,12 Hekur Periodik,"8,340",KG,EURO ABI (KOSOVA),25/02/2023
"2,803",301,                                                            ,DM.00.040,18 Hekur Periodik,"4,240",KG,EURO ABI (KOSOVA),25/02/2023
"2,803",301,                                                            ,DM.00.045,20 Hekur Periodik,"4,320",KG,EURO ABI (KOSOVA),25/02/2023
"2,804",303,                                                            ,EM.02.100," 5,5 Hekur Katanke ","24,840",KG,CWI-ALBANIA SHA_HEKUR,25/02/2023
"2,875",386,                                                            ,DM.00.020,10 Hekur Periodik,"31,900",KG,SHIJAKU SHPK (SHSH),27/02/2023
"6,268",4001,                                                            ,DM.00.010,8 Hekur Periodik,"10,300",KG,METAL MIX SHPK ,29/04/2023
"6,268",4001,                                                            ,DM.00.020,10 Hekur Periodik,"12,740",KG,METAL MIX SHPK ,29/04/2023
"6,269",4002,                                                            ,DM.00.010,8 Hekur Periodik,"24,200",KG,EURO ABI (KOSOVA),29/04/2023
"6,270",4003,                                                            ,DM.00.010,8 Hekur Periodik,"9,000",KG,EURO ABI (KOSOVA),29/04/2023
"6,270",4003,                                                            ,EM.00.045,20 Hekur Periodik,"14,000",KG,EURO ABI (KOSOVA),29/04/2023
"6,271",4004,                                                            ,DM.00.010,8 Hekur Periodik,"10,500",KG,EURO STEEL-MN,29/04/2023
"6,271",4004,                                                            ,DM.00.015,9 Hekur Periodik,"10,660",KG,EURO STEEL-MN,29/04/2023
"6,272",4005,                                                            ,DM.00.010,8 Hekur Periodik,"32,180",KG,SHIJAKU SHPK (SHSH),29/04/2023
"6,273",4006,                                                            ,EM.00.025,12 Hekur Periodik,"7,800",KG,LARTI SHPK (A.ISAI),29/04/2023
"6,273",4006,                                                            ,EM.00.045,20 Hekur Periodik,"27,180",KG,LARTI SHPK (A.ISAI),29/04/2023
"6,274",4007,                                                            ,DM.00.010,8 Hekur Periodik,"16,520",KG,SHIJAKU SHPK (SHSH),29/04/2023
"6,274",4007,                                                            ,EM.00.045,20 Hekur Periodik,"15,900",KG,SHIJAKU SHPK (SHSH),29/04/2023
"6,275",4008,                                                            ,EM.00.040,18 Hekur Periodik,"13,740",KG,METAL MIX SHPK ,29/04/2023
"6,275",4008,                                                            ,EM.00.045,20 Hekur Periodik,"11,200",KG,METAL MIX SHPK ,29/04/2023
"6,276",4009,                                                            ,DM.00.025,12 Hekur Periodik,"21,280",KG,EURO STEEL-MN,29/04/2023
"6,276",4009,                                                            ,EM.00.025,12 Hekur Periodik,"5,200",KG,EURO STEEL-MN,29/04/2023
"6,279",4011,                                                            ,EM.02.105, 6 Hekur Katanke ,"25,520",KG,CWI-ALBANIA SHA_HEKUR,29/04/2023
"6,280",4012,                                                            ,DM.00.010,8 Hekur Periodik,"4,200",KG,CEKREZI METAL SHPK,29/04/2023
"6,280",4012,                                                            ,EM.00.025,12 Hekur Periodik,"13,520",KG,CEKREZI METAL SHPK,29/04/2023
"6,280",4012,                                                            ,EM.00.030,14 Hekur Periodik,"13,000",KG,CEKREZI METAL SHPK,29/04/2023
"6,282",4013,                                                            ,DM.00.025,12 Hekur Periodik,"32,800",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,283",4014,                                                            ,DM.00.025,12 Hekur Periodik,"33,360",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,284",4015,                                                            ,DM.00.015,9 Hekur Periodik,"23,940",KG,SHIJAKU SHPK (SHSH),01/05/2023
"6,284",4015,                                                            ,EM.00.050,22 Hekur Periodik,"10,200",KG,SHIJAKU SHPK (SHSH),01/05/2023
"6,285",4016,                                                            ,DM.00.025,12 Hekur Periodik,"33,380",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,287",4018,                                                            ,DM.00.025,12 Hekur Periodik,"27,360",KG,EURO STEEL-MN,01/05/2023
"6,288",4019,                                                            ,DM.00.020,10 Hekur Periodik,"27,480",KG,EURO STEEL-MN,01/05/2023
"6,289",4021,                                                            ,EM.00.035,16 Hekur Periodik,"22,100",KG,EURO ABI (KOSOVA),01/05/2023
"6,292",4022,                                                            ,DM.00.010,8 Hekur Periodik,"11,060",KG,FOKUS TRADE BALKAN DOOEL,01/05/2023
"6,292",4022,                                                            ,DM.00.015,9 Hekur Periodik,"4,200",KG,FOKUS TRADE BALKAN DOOEL,01/05/2023
"6,292",4022,                                                            ,DM.00.055,25 Hekur Periodik,"2,100",KG,FOKUS TRADE BALKAN DOOEL,01/05/2023
"6,292",4022,                                                            ,EM.00.035,16 Hekur Periodik,"5,200",KG,FOKUS TRADE BALKAN DOOEL,01/05/2023
"6,293",4023,                                                            ,DM.00.025,12 Hekur Periodik,"33,300",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,294",4024,                                                            ,DM.00.010,8 Hekur Periodik,"29,840",KG,STERKAJ SHPK ,01/05/2023
"6,295",4025,                                                            ,DM.00.025,12 Hekur Periodik,"23,080",KG,EURO ABI (KOSOVA),01/05/2023
"6,296",4026,                                                            ,DM.00.020,10 Hekur Periodik,"25,820",KG,EURO ABI (KOSOVA),01/05/2023
"6,299",4029,                                                            ,DM.00.025,12 Hekur Periodik,"32,440",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,300",4031,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,301",4034,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,280",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,302",4035,                                                            ,DM.00.025,12 Hekur Periodik,"33,080",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,303",4036,                                                            ,DM.00.025,12 Hekur Periodik,"33,540",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,304",4037,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,305",4038,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,306",4039,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,280",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,307",4041,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,300",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,308",4042,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,360",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,309",4043,                                                            ,DM.00.015,9 Hekur Periodik,"16,200",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,309",4043,                                                            ,DM.00.030,14 Hekur Periodik,"15,100",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,310",4044,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,320",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,311",4045,                                                            ,DM.00.020,10 Hekur Periodik,"2,100",KG,ERGI SHPK,01/05/2023
"6,311",4045,                                                            ,DM.00.055,25 Hekur Periodik,"8,260",KG,ERGI SHPK,01/05/2023
"6,311",4045,                                                            ,EM.00.025,12 Hekur Periodik,"8,000",KG,ERGI SHPK,01/05/2023
"6,311",4045,                                                            ,EM.00.040,18 Hekur Periodik,"5,500",KG,ERGI SHPK,01/05/2023
"6,311",4045,                                                            ,EM.00.045,20 Hekur Periodik,"5,500",KG,ERGI SHPK,01/05/2023
"6,311",4045,                                                            ,EM.00.050,22 Hekur Periodik,"8,000",KG,ERGI SHPK,01/05/2023
"6,312",4046,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,300",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,314",4047,                                                            ,DM.00.015,9 Hekur Periodik,"10,380",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,314",4047,                                                            ,EM.00.035,16 Hekur Periodik,"16,200",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,314",4047,                                                            ,EM.00.040,18 Hekur Periodik,"5,500",KG,LARTI SHPK (A.ISAI),01/05/2023
"6,316",4048,                                                            ,DM.00.010,8 Hekur Periodik,"17,660",KG,KONTAKT SHPK,01/05/2023
"6,316",4048,                                                            ,DM.00.020,10 Hekur Periodik,"2,020",KG,KONTAKT SHPK,01/05/2023
"6,316",4048,                                                            ,EM.00.025,12 Hekur Periodik,"5,220",KG,KONTAKT SHPK,01/05/2023
"6,316",4048,                                                            ,EM.00.040,18 Hekur Periodik,"5,260",KG,KONTAKT SHPK,01/05/2023
"6,316",4048,                                                            ,EM.00.045,20 Hekur Periodik,"2,000",KG,KONTAKT SHPK,01/05/2023
"6,316",4048,                                                            ,EM.00.050,22 Hekur Periodik,"2,000",KG,KONTAKT SHPK,01/05/2023
"6,318",4053,                                                            ,DM.00.025,12 Hekur Periodik,"24,580",KG,METAL MIX SHPK ,01/05/2023
"6,319",4054,                                                            ,DM.00.055,25 Hekur Periodik,"16,600",KG,G.P.G COMPANY SHPK ,01/05/2023
"6,319",4054,                                                            ,EM.00.045,20 Hekur Periodik,"17,000",KG,G.P.G COMPANY SHPK ,01/05/2023
"6,319",4054,                                                            ,EM.00.050,22 Hekur Periodik,"2,000",KG,G.P.G COMPANY SHPK ,01/05/2023
"6,320",4055,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,420",KG,CWI-ALBANIA SHA_HEKUR,01/05/2023
"6,321",4071,                                                            ,DM.00.055,25 Hekur Periodik,"4,100",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,321",4071,                                                            ,EM.00.045,20 Hekur Periodik,"24,240",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,321",4071,                                                            ,EM.00.050,22 Hekur Periodik,"4,000",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,322",4072,                                                            ,DM.00.010,8 Hekur Periodik,"15,220",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,322",4072,                                                            ,DM.00.025,12 Hekur Periodik,"16,500",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,324",4074,                                                            ,EM.00.040,18 Hekur Periodik,"26,460",KG,METAL IN (KOSOVA),02/05/2023
"6,325",4075,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,360",KG,CWI-ALBANIA SHA_HEKUR,02/05/2023
"6,326",4076,                                                            ,DM.00.015,9 Hekur Periodik,"25,860",KG,METAL IN (KOSOVA),02/05/2023
"6,327",4077,                                                            ,EM.00.040,18 Hekur Periodik,"25,440",KG,METAL IN (KOSOVA),02/05/2023
"6,328",4078,                                                            ,DM.00.030,14 Hekur Periodik,"24,900",KG,BRODOMETALURGIJA DOO,02/05/2023
"6,329",4080,                                                            ,DM.00.025,12 Hekur Periodik,"24,980",KG,METAL IN (KOSOVA),02/05/2023
"6,332",4083,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,280",KG,CWI-ALBANIA SHA_HEKUR,02/05/2023
"6,333",4084,                                                            ,DM.00.025,12 Hekur Periodik,"20,640",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,334",4085,                                                            ,DM.00.035,16 Hekur Periodik,"24,040",KG,BRODOMETALURGIJA DOO,02/05/2023
"6,335",4086,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,300",KG,CWI-ALBANIA SHA_HEKUR,02/05/2023
"6,336",4087,                                                            ,DM.00.025,12 Hekur Periodik,"19,520",KG,METAL IN (KOSOVA),02/05/2023
"6,336",4087,                                                            ,EM.00.040,18 Hekur Periodik,"8,400",KG,METAL IN (KOSOVA),02/05/2023
"6,337",4088,                                                            ,EM.00.035,16 Hekur Periodik,"9,700",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,337",4088,                                                            ,EM.00.040,18 Hekur Periodik,"5,700",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,337",4088,                                                            ,EM.00.050,22 Hekur Periodik,"6,100",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,338",4089,                                                            ,DM.00.020,10 Hekur Periodik,"2,100",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,338",4089,                                                            ,DM.00.055,25 Hekur Periodik,"12,080",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,338",4089,                                                            ,EM.00.035,16 Hekur Periodik,"7,800",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,339",4090,                                                            ,EM.00.035,16 Hekur Periodik,"22,560",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,340",4091,                                                            ,DM.00.010,8 Hekur Periodik,"8,300",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,340",4091,                                                            ,EM.00.025,12 Hekur Periodik,"13,000",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,340",4091,                                                            ,EM.00.030,14 Hekur Periodik,"13,400",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,342",4092,                                                            ,DM.00.025,12 Hekur Periodik,"25,080",KG,SHPK NDERIMI(KOSOVA),02/05/2023
"6,344",4094,                                                            ,DM.00.025,12 Hekur Periodik,"24,200",KG,METAL MIX SHPK ,02/05/2023
"6,345",4096,                                                            ,DM.00.020,10 Hekur Periodik,"23,180",KG,METAL MIX SHPK ,02/05/2023
"6,346",4097,                                                            ,DM.00.025,12 Hekur Periodik,"26,820",KG,METAL IN (KOSOVA),02/05/2023
"6,351",4098,                                                            ,DM.00.015,9 Hekur Periodik,"13,820",KG,METAL IN (KOSOVA),02/05/2023
"6,351",4098,                                                            ,DM.00.025,12 Hekur Periodik,"14,000",KG,METAL IN (KOSOVA),02/05/2023
"6,352",4100,                                                            ,DM.00.010,8 Hekur Periodik,"4,080",KG,FOKUS TRADE BALKAN DOOEL,02/05/2023
"6,352",4100,                                                            ,DM.00.020,10 Hekur Periodik,"4,200",KG,FOKUS TRADE BALKAN DOOEL,02/05/2023
"6,352",4100,                                                            ,EM.00.025,12 Hekur Periodik,"10,400",KG,FOKUS TRADE BALKAN DOOEL,02/05/2023
"6,352",4100,                                                            ,EM.00.035,16 Hekur Periodik,"5,200",KG,FOKUS TRADE BALKAN DOOEL,02/05/2023
"6,353",4101,                                                            ,DM.00.010,8 Hekur Periodik,"15,740",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,353",4101,                                                            ,DM.00.025,12 Hekur Periodik,"16,300",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,354",4102,                                                            ,DM.00.015,9 Hekur Periodik,"16,200",KG,CONDOR SHPK (KOSOVE),02/05/2023
"6,354",4102,                                                            ,DM.00.025,12 Hekur Periodik,"12,740",KG,CONDOR SHPK (KOSOVE),02/05/2023
"6,355",4103,                                                            ,EM.00.035,16 Hekur Periodik,"26,940",KG,METAL IN (KOSOVA),02/05/2023
"6,356",4104,                                                            ,DM.00.015,9 Hekur Periodik,"12,200",KG,VAM TRADE SHPK,02/05/2023
"6,356",4104,                                                            ,DM.00.025,12 Hekur Periodik,"17,720",KG,VAM TRADE SHPK,02/05/2023
"6,357",4105,                                                            ,DM.02.120,8 Hekur Katanke ,"28,420",KG,METAL IN (KOSOVA),02/05/2023
"6,359",4106,                                                            ,DM.00.025,12 Hekur Periodik,"26,740",KG,VAM TRADE SHPK,02/05/2023
"6,359",4106,                                                            ,DM.00.025,12 Hekur Periodik,"1,760",KG,VAM TRADE SHPK,02/05/2023
"6,358",4107,                                                            ,DM.00.025,12 Hekur Periodik,"20,820",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,358",4107,                                                            ,DM.00.030,14 Hekur Periodik,"12,600",KG,SHIJAKU SHPK (SHSH),02/05/2023
"6,360",4108,                                                            ,DM.00.025,12 Hekur Periodik,"22,740",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,363",4109,                                                            ,EM.00.035,16 Hekur Periodik,"17,280",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,363",4109,                                                            ,EM.00.045,20 Hekur Periodik,"16,800",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,364",4110,                                                            ,DM.00.015,9 Hekur Periodik,"21,040",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,364",4110,                                                            ,EM.00.050,22 Hekur Periodik,"12,200",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,365",4111,                                                            ,DM.00.025,12 Hekur Periodik,"4,300",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,365",4111,                                                            ,DM.00.030,14 Hekur Periodik,"22,060",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,365",4111,                                                            ,EM.00.045,20 Hekur Periodik,"5,200",KG,LARTI SHPK (A.ISAI),02/05/2023
"6,366",4112,                                                            ,DM.00.020,10 Hekur Periodik,"6,300",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,366",4112,                                                            ,EM.00.025,12 Hekur Periodik,"13,080",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,366",4112,                                                            ,EM.00.035,16 Hekur Periodik,"5,200",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,367",4116,                                                            ,DM.00.010,8 Hekur Periodik,"6,200",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,367",4116,                                                            ,DM.00.025,12 Hekur Periodik,"18,720",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,368",4117,                                                            ,DM.00.015,9 Hekur Periodik,"18,500",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,368",4117,                                                            ,DM.00.025,12 Hekur Periodik,"6,600",KG,STIL ZELEZO DOOEL ,02/05/2023
"6,370",4119,                                                            ,DM.00.020,10 Hekur Periodik,"8,240",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,370",4119,                                                            ,DM.00.055,25 Hekur Periodik,"4,440",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,370",4119,                                                            ,EM.00.025,12 Hekur Periodik,"5,200",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
"6,370",4119,                                                            ,EM.00.045,20 Hekur Periodik,"4,600",KG,PROMET STEEL HOLDING DOOEL (Makedonya),02/05/2023
